ID,membership_num,partnership_num,ownership_num
Spanish Shrimp  Carriers,31.963478830063224,5.201956311760041,2.0290550532442464
Faroe Islands Shrimp Shark,77.98938732651216,32.99778913549187,7.020503563787033
Saltwater Solitude GmbH & Co. KG,-7.374460908316923,1.2061349879192724,1.192850356348364
Viento Azul Harbor LLC Investment,-7.710267878656242,0.45516323743323395,0.6258721474082831
Turkish Sword Buoy Incorporated Forwading,-1.2114585594423704,-1.258163382044991,-2.932150385667996
png xi  Line,150.81953364335033,1.1802439524130144,-8.673065885727745
Playa del Cielo Kga,73.20631378180809,-9.825756151780174,14.758170360790887
Belgian Scallop Ltd. Liability Co,-6.503906849681498,0.17590289683842691,-1.4868008564005706
Rajasthan Limited Liability Company,-6.545962732625532,-1.0581195885626626,0.09903204470874426
Estrella de Mar Ltd. Liability Co,-6.031233026959658,4.210021989863421,3.460763192108678
Playa de la Luna Ltd. Corporation,-5.279672460983438,-0.012069074302981006,0.08170576830090993
Mar del Oeste Pic,149.12438737752197,-15.55137386361916,-1.528414133153169
Costa del Mar Oyj Hijiki,-7.296018790810545,-0.676964050807733,0.07896299158847415
Bu yu wang Plc Carriers,-6.857906937301989,0.9834919084164365,-2.289751833515363
Jammu & Kashmir Ltd Family,-5.795906674440517,-1.439275126317592,0.11910109782901396
Delhi ers AS Holdings,-2.2089013609267325,1.6878120341481535,-4.04796511265158
Cape of Good Hope  Oyj,-5.726720994353654,-1.7181692182538502,0.6098307791495798
Playa del Mar Caviar,-7.296018790810545,-0.676964050807733,0.07896299158847415
Estrella de la Costa Inc Transit,-6.210155762286215,-0.30714783807662527,0.6660102536488232
Zambezi Rapids NV Brothers,-7.22683311072368,-0.9558581427439911,0.5696926729090399
Rybachit Limited Liability Company,-1.649570412950927,-2.9186193412691597,-0.5634355605641589
Senegal Coast Oyj Motorboat,-6.434721169594632,-0.10299119509783108,-0.9960711750800045
Playa de Coral GmbH Consultants,-6.857906937301989,0.9834919084164365,-2.289751833515363
Diao er Ltd. Corporation Transport,-6.1363418634895925,-1.3881444034082564,0.354431411929162
Tshikwea Corp Marine sanctuary,-0.8154025888778466,-0.8317299082219103,-3.7150323096625173
Turkish Sword Ltd Export,-6.476777052538665,-1.3370136804989203,0.5897617260293098
Marine Mermaids CJSC Marine biology,-7.296018790810545,-0.676964050807733,0.07896299158847415
OceanicOrigin Foods Co and Son's,-7.22683311072368,-0.9558581427439911,0.5696926729090399
Ola de la Costa S.A. de C.V.,-6.545962732625532,-1.0581195885626626,0.09903204470874426
xu y Ltd. Corporation,-4.710043645916188,-1.0694589135864843,0.7061483598893628
Dry Creek Marine sanctuary,-6.886397921674605,-1.0069888656533266,0.3343623588088919
Charles OJSC Marine conservation,-7.650018878431035,0.13062496077027644,-0.7239879855263179
Caracola Azul Limited Liability Company,-6.886397921674605,-1.0069888656533266,0.3343623588088919
Viento y Mar BV,-6.1363418634895925,-1.3881444034082564,0.354431411929162
OceanFront Foods Co Beach,-6.960211820471227,0.07400769967830462,0.6459412005285532
Mar del Norte Ferry,-7.296018790810545,-0.676964050807733,0.07896299158847415
Romero Oyster NV Carriers,-7.374460908316926,1.206134987919271,1.192850356348362
Cape Verde Islands Oyj,-7.650018878431035,0.13062496077027644,-0.7239879855263179
Fin Flair Pic Delivery,-7.314211908091718,0.8815967112563138,-0.15700977658623907
Coastal Crusaders Kga Worldwide,-6.8172122415877405,-1.285882957589585,0.8250920401294577
Seashell Sanctum SRL Transport,-7.22683311072368,-0.9558581427439911,0.5696926729090399
Tiao piao AG Delivery,-4.976664936168639,-2.0993247560087793,0.6298998322698496
Manipur Market AG Consultants,-7.22683311072368,-0.9558581427439911,0.5696926729090399
Shona Barracuda AB Worldwide,-7.296018790810545,-0.676964050807733,0.07896299158847415
Khundu Ltd. Liability Co,-7.22683311072368,-0.9558581427439911,0.5696926729090399
Diao yu bi sai Tidal BV Export,-6.960211820471227,0.07400769967830462,0.6459412005285532
Madhya Pradesh Market Pic Transportation,-7.374460908316926,1.206134987919271,1.192850356348362
Tamil Nadu Ltd. Liability Co Express,-5.795906674440517,-1.439275126317592,0.11910109782901396
David Limited Liability Company,-6.624404850131911,0.8249794501643417,1.212919409468632
Kariba Dam  Corporation Nautical,-4.907479256081774,-2.3782188479450377,1.1206295135904156
Benton Ltd. Liability Co,4.729380999025481,5.138338725301212,-14.67537924558583
Pez Dorado BV Logistics,-4.085515143350325,3.9685262251779956,-7.769925301477016
The Salty Pearl River S.p.A. Export,-1.6723917489418572,-0.5579561058097396,0.0029001943013548708
Punjab Market Marine sanctuary ship,-5.795906674440517,-1.439275126317592,0.11910109782901396
Malawi Rift  Holdings Navigation,-7.296018790810545,-0.676964050807733,0.07896299158847415
Baha de Coral OJSC Marine,-7.296018790810545,-0.676964050807733,0.07896299158847415
Rajasthan GmbH & Co. KG,-1.900224187730248,3.9517003619715383,-5.55754948614138
Nutica del Sol AG,-6.490341951110082,-0.5805553918302467,-0.4485195651856303
Simien Mountains  Company Delivery,-6.094285980545559,-0.15412191800716687,-1.2314014891801526
su y CJSC Canal,0.19528535362007707,-2.884314481566282,1.884270568871627
su y Worldwide Shark,-7.296018790810545,-0.676964050807733,0.07896299158847415
Tshikele Ltd. Liability Co,-7.22683311072368,-0.9558581427439911,0.5696926729090399
Dutch Herring Inc Transportation,-7.22683311072368,-0.9558581427439911,0.5696926729090399
Jammu & Kashmir ship,-7.636453979859619,-0.6258333278983973,0.31429330568862207
Congo Rapids  Marine sanctuary GmbH & Co. KG Marine sanctuary,-6.288597879792594,1.575951200650379,1.7798976184087107
Greek Sea Bream and Son's,-6.5505909513352885,-0.25601711516728937,0.9013405677489709
Lachlan Enterprises Coral Reef,-5.9527909094532765,2.3269229511364165,2.3468758273487897
Gambia River  GmbH & Co. KG and,-6.624404850131911,0.8249794501643417,1.212919409468632
Olas del Sur Inc,-2.3350690097588314,-2.014255422055115,0.709533590676364
SeaSelect Foods Corp Dry dock,-7.636453979859619,-0.6258333278983973,0.31429330568862207
Sudd Swamp  Wave AS Freight ,-4.710043645916188,-1.0694589135864843,0.7061483598893628
Ancla del Mar Kga,-6.960211820471227,0.07400769967830462,0.6459412005285532
James Limited Liability Company Logistics,-7.253962907866511,0.5570584345933566,-1.5068699095208402
David Seabed Inc Consulting,-6.545962732625532,-1.0581195885626626,0.09903204470874426
Playa del Cielo  Marine,-7.296018790810545,-0.676964050807733,0.07896299158847415
hi xng BV Carriers,-7.253962907866511,0.5570584345933566,-1.5068699095208402
Spanish Co & Son's,-7.374460908316926,1.206134987919271,1.192850356348362
Portuguese Sardines GmbH & Co. KG Line,-6.476777052538665,-1.3370136804989203,0.5897617260293098
Kagera River  GmbH & Co. KG Delivery,-6.545962732625532,-1.0581195885626626,0.09903204470874426
Scania Seafaring SRL Express,-7.650018878431035,0.13062496077027644,-0.7239879855263179
Estrella del Sol LLC,-7.710267878656244,0.4551632374332338,0.6258721474082831
Danish Lobster Ltd. Liability Co,-6.545962732625532,-1.0581195885626626,0.09903204470874426
Lake Manyara  SRL Brothers,-7.710267878656244,0.4551632374332338,0.6258721474082831
Mar de Estrellas Oyj Carriers,-6.545962732625532,-1.0581195885626626,0.09903204470874426
AquaFresh Foods CJSC -,-6.031233026959658,4.210021989863421,3.460763192108678
